Id,Name,Symbol,Slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap
1,Bitcoin,BTC,bitcoin,10806,2010-07-13 00:00:00,21000000,19614100,19614100,43471.79463122,23263204719.49297000,0.99760000,0.36948378,-0.05342994,8.42791181,1.64380032,12.22240063,25.62281232,852660127076.27720000,51.29100000,912907687255.69000000
2,Litecoin,LTC,litecoin,1106,2013-04-28 00:00:00,84000000,74154763,84000000,68.35472610,334813442.97086570,29.98450000,0.35478972,-0.03744374,4.18871371,-7.10425748,-4.53576336,0.13819243,5068828498.54877400,0.30520000,5741796992.43000000
52,XRP,XRP,xrp,1222,2013-08-04 00:00:00,100000000000,54374512255,99987956150,0.51013229,1971577405.50577620,89.22080000,0.32636406,-3.27231423,-1.23205320,-17.93943106,-16.77998028,-14.52917993,27738194309.28191000,1.67310000,51013228733.34000000
74,Dogecoin,DOGE,dogecoin,886,2013-12-15 00:00:00,,142881376384,142881376384,0.07988286,308766200.44290876,-15.77650000,0.73390137,-1.91107090,0.93081302,-12.48478122,-4.80122118,18.46661603,11413773202.37991100,0.68660000,11413773202.38000000
328,Monero,XMR,monero,267,2014-05-21 00:00:00,,18391657,18391657,165.86343466,89355792.78808612,-4.24070000,0.78318564,2.01161531,8.95720294,-0.14313437,-2.85226377,-3.13965429,3050503462.21746800,0.18370000,3050503462.22000000
512,Stellar,XLM,stellar,571,2014-08-05 00:00:00,50001806812,28371970863,50001787037,0.11120931,81159688.03362197,21.29480000,0.19926835,-3.13329238,-0.57972161,-14.15131264,-7.37009893,-6.13554215,3155227391.13973430,0.19030000,5560666589.61000000
825,Tether USDt,USDT,tether,73733,2015-02-25 00:00:00,,96219281549,99600769238,0.99987414,41914935340.30963000,3.72650000,0.00230262,-0.01177974,0.03290070,-0.03508009,-0.04960436,-0.04249143,96207171595.37375000,5.80190000,99588233696.86000000
1027,Ethereum,ETH,ethereum,8351,2015-08-07 00:00:00,,120182821,120182821,2339.23683768,10486800282.07001900,4.82110000,0.89780498,-1.18427002,4.40863502,1.12823354,11.43491352,29.97648692,281136082254.34510000,16.91150000,281136082254.35000000
1321,Ethereum Classic,ETC,ethereum-classic,502,2016-07-24 00:00:00,210700000,145319351,210700000,25.04552593,423294076.45600520,8.58680000,1.16590191,-3.72503735,9.35877079,13.18767072,30.44745049,46.73965822,3639599561.78113900,0.21940000,5277092314.34000000
1376,Neo,NEO,neo,312,2016-09-08 00:00:00,100000000,70538831,100000000,10.98840098,114198147.86940205,267.10650000,0.37883746,-3.39445938,4.85229307,-20.98851492,-3.41081188,16.04154480,775108959.49180360,0.04670000,1098840097.72000000
