,,#,Nom,Prix,1h %,% 24h,7d %,Cap. Marché,Volume (24 h),Offre en Circulation,7 Derniers Jours
0,,1,"Bitcoin
BTC","€40,123.25",0.15%,2.57%,9.13%,"€786,946,484,072","€22,842,031,393
568,821 BTC","19,613,231 BTC",
1,,2,"Ethereum
ETH","€2,141.23",0.31%,2.42%,3.19%,"€257,741,189,779","€8,847,044,876
4,136,127 ETH","120,183,304 ETH",
2,,3,"Tether USDt
USDT",€0.9225,0.18%,0.72%,1.46%,"€88,612,146,688","€38,613,939,200
41,859,419,693 USDT","96,052,972,269 USDT",
3,,4,"BNB
BNB",€285.01,0.21%,0.05%,3.00%,"€42,639,241,770","€757,999,885
2,659,553 BNB","149,547,208 BNB",
4,,5,"Solana
SOL",€97.69,0.29%,8.61%,27.53%,"€42,480,498,203","€3,257,777,321
33,347,437 SOL","435,495,548 SOL",
5,,6,"XRP
XRP",€0.4853,0.21%,0.11%,1.96%,"€26,426,243,382","€956,400,569
1,970,869,268 XRP","54,374,512,255 XRP",
6,,7,"USDC
USDC",€0.9225,0.19%,0.73%,1.59%,"€24,389,121,452","€5,097,529,495
5,525,603,794 USDC","26,436,121,730 USDC",
7,,8,"Cardano
ADA",€0.4799,0.05%,5.67%,9.69%,"€17,037,043,680","€540,947,551
1,127,242,190 ADA","35,423,529,227 ADA",
8,,9,"Avalanche
AVAX",€33.47,0.92%,2.58%,24.70%,"€12,285,464,976","€702,535,932
20,987,402 AVAX","367,065,642 AVAX",
9,,10,"Dogecoin
DOGE",€0.07508,0.33%,0.86%,3.84%,"€10,714,531,770","€359,262,101
4,785,238,549 DOGE","142,866,866,384 DOGE",
10,,11,"TRON
TRX",€0.1033,0.14%,2.37%,3.12%,"€9,115,635,685","€224,768,805
2,174,995,194 TRX","88,144,209,121 TRX",
11,,12,"Polkadot
DOT",€6.45,0.07%,3.10%,11.79%,"€8,542,819,300","€310,095,596
48,068,750 DOT","1,323,681,635 DOT",
12,,13,"Chainlink
LINK",€14.19,1.11%,5.77%,8.03%,"€8,066,476,099","€451,979,292
31,847,991 LINK","568,099,970 LINK",
13,,,PolygonMATIC,$0.80,,,,,,,
14,,,ToncoinTON,$2.12,,,,,,,
15,,,Internet ComputerICP,$11.96,,,,,,,
16,,,Shiba InuSHIB,$0.00,,,,,,,
17,,,DaiDAI,$1.00,,,,,,,
18,,,LitecoinLTC,$68.20,,,,,,,
19,,,Bitcoin CashBCH,$241.18,,,,,,,
20,,,UniswapUNI,$6.19,,,,,,,
21,,,CosmosATOM,$9.60,,,,,,,
22,,,UNUS SED LEOLEO,$3.97,,,,,,,
23,,,Ethereum ClassicETC,$25.00,,,,,,,
24,,,StellarXLM,$0.11,,,,,,,
25,,,InjectiveINJ,$36.57,,,,,,,
26,,,OKBOKB,$52.89,,,,,,,
27,,,AptosAPT,$9.28,,,,,,,
28,,,NEAR ProtocolNEAR,$3.07,,,,,,,
29,,,MoneroXMR,$162.78,,,,,,,
30,,,OptimismOP,$3.12,,,,,,,
31,,,CelestiaTIA,$18.36,,,,,,,
32,,,ImmutableIMX,$2.04,,,,,,,
33,,,Lido DAOLDO,$3.02,,,,,,,
34,,,FilecoinFIL,$5.25,,,,,,,
35,,,First Digital USDFDUSD,$1.00,,,,,,,
36,,,HederaHBAR,$0.07,,,,,,,
37,,,KaspaKAS,$0.11,,,,,,,
38,,,ArbitrumARB,$1.87,,,,,,,
39,,,StacksSTX,$1.60,,,,,,,
40,,,CronosCRO,$0.08,,,,,,,
41,,,VeChainVET,$0.03,,,,,,,
42,,,MantleMNT,$0.59,,,,,,,
43,,,SeiSEI,$0.75,,,,,,,
44,,,MakerMKR,$1965.74,,,,,,,
45,,,RenderRNDR,$4.61,,,,,,,
46,,,SuiSUI,$1.57,,,,,,,
47,,,THORChainRUNE,$4.75,,,,,,,
48,,,MultiversXEGLD,$58.51,,,,,,,
49,,,The GraphGRT,$0.16,,,,,,,
50,,,TrueUSDTUSD,$0.99,,,,,,,
51,,,Bitcoin SVBSV,$72.83,,,,,,,
